Project Name,Transacted Price ($),Area (SQFT),Street Name,Type of Sale,Type of Area,Property Type,Number of Units,Postal District,Market Segment,Data_Source,Year,Month,start_floor,end_floor,is_freehold,lease_duration_years,lease_commencement_year,remaining_lease_years,lease_age_at_sale,lease_maturity_ratio,lease_category_encoded,is_peak_season,is_november,quarter,month_sin,month_cos
PARC CLEMATIS,1430000.0,721.19,JALAN LEMPENG,Sub Sale,Strata,Apartment,1.0,5.0,Outside Central Region,train,24,3,11,15,0,99,2019,94,5,0.050505050505050504,1,0,0,1,1.0,6.123233995736766e-17
LEEDON GREEN,1988000.0,699.66,LEEDON HEIGHTS,New Sale,Strata,Condominium,1.0,10.0,Core Central Region,train,21,9,6,10,1,9999,0,9999,0,0.0,0,0,0,3,-1.0,-1.8369701987210297e-16
HILLHAVEN,2068472.0,958.0,HILLVIEW RISE,New Sale,Strata,Condominium,1.0,23.0,Outside Central Region,train,24,12,21,25,0,99,2023,98,1,0.010101010101010102,1,0,0,4,-2.4492935982947064e-16,1.0
ONE-NORTH EDEN,1615000.0,688.9,SLIM BARRACKS RISE,Sub Sale,Strata,Apartment,1.0,5.0,Rest of Central Region,train,24,11,6,10,0,99,2019,94,5,0.050505050505050504,1,1,1,4,-0.5000000000000004,0.8660254037844384
SUMMERHILL,1520000.0,1001.05,HUME AVENUE,Resale,Strata,Condominium,1.0,21.0,Outside Central Region,train,22,1,6,10,1,9999,0,9999,0,0.0,0,0,0,1,0.49999999999999994,0.8660254037844387
8 HULLET,2330831.0,796.54,HULLET ROAD,New Sale,Strata,Apartment,1.0,9.0,Core Central Region,train,22,4,1,5,1,9999,0,9999,0,0.0,0,0,0,2,0.8660254037844387,-0.49999999999999983
KINGSFORD WATERBAY,1140000.0,850.36,UPPER SERANGOON VIEW,Resale,Strata,Apartment,1.0,19.0,Outside Central Region,train,20,11,11,15,0,99,2014,93,6,0.06060606060606061,1,1,1,4,-0.5000000000000004,0.8660254037844384
NAVA GROVE,1506400.0,624.31,PINE GROVE,New Sale,Strata,Condominium,1.0,21.0,Rest of Central Region,train,24,11,11,15,0,99,2024,99,0,0.0,1,1,1,4,-0.5000000000000004,0.8660254037844384
DUCHESS RESIDENCES,2970000.0,1603.84,DUCHESS AVENUE,Resale,Strata,Condominium,1.0,10.0,Core Central Region,train,21,4,1,5,0,999,1875,853,146,0.14614614614614616,1,0,0,2,0.8660254037844387,-0.49999999999999983
D'LEEDON,1820000.0,1162.51,LEEDON HEIGHTS,Resale,Strata,Condominium,1.0,10.0,Core Central Region,train,21,3,21,25,0,99,2010,88,11,0.1111111111111111,1,0,0,1,1.0,6.123233995736766e-17
