Project Name,Area (SQFT),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Transacted Price ($)
THE SKYWOODS,947.23,May-22,DAIRY FARM HEIGHTS,Resale,Strata,88,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,11 to 15,1375000
LENTOR MANSION,"1,227.1",Oct-24,LENTOR GARDENS,New Sale,Strata,114.0,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,01 to 05,2672000
THE ALCOVE,"2,378.84",Mar-21,LORONG 27 GEYLANG,Resale,Strata,221,Apartment,1,99 yrs lease commencing from 2000,14,Rest of Central Region,06 to 10,1600000
THE QUINN,559.73,Jun-21,BARTLEY ROAD,Resale,Strata,52,Apartment,1,Freehold,19,Outside Central Region,01 to 05,850000
SUNGLADE,"1,097.93",Oct-21,SERANGOON AVENUE 2,Resale,Strata,102,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,01 to 05,1350000
BERKELEY RESIDENCES,882.65,Oct-24,LORONG N TELOK KURAU,Resale,Strata,82.0,Apartment,1,Freehold,15,Outside Central Region,01 to 05,1502800
NAVA GROVE,624.31,Nov-24,PINE GROVE,New Sale,Strata,58.0,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,11 to 15,1538600
ASCENTIA SKY,"1,474.67",Aug-22,ALEXANDRA VIEW,Resale,Strata,137,Condominium,1,99 yrs lease commencing from 2008,3,Rest of Central Region,26 to 30,2320000
HILLVISTA,"1,173.28",Jan-21,ELIZABETH DRIVE,Resale,Strata,109,Condominium,1,Freehold,23,Outside Central Region,06 to 10,1545000
PARK PLACE RESIDENCES AT PLQ,484.38,Apr-24,PAYA LEBAR ROAD,Resale,Strata,45,Apartment,1,99 yrs lease commencing from 2015,14,Rest of Central Region,06 to 10,1075000
THE GLADES,624.31,Dec-20,BEDOK RISE,Resale,Strata,58,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,11 to 15,938000
ARCHIPELAGO,839.59,Mar-22,BEDOK RESERVOIR ROAD,Resale,Strata,78,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05,1030000
RV ALTITUDE,602.78,Mar-21,RIVER VALLEY ROAD,New Sale,Strata,56,Apartment,1,Freehold,9,Core Central Region,16 to 20,1586000
THE GREENWICH,"1,227.1",Feb-22,SELETAR ROAD,Resale,Strata,114,Condominium,1,99 yrs lease commencing from 2009,28,Outside Central Region,01 to 05,1600000
THE PALETTE,"1,065.64",Feb-22,PASIR RIS GROVE,Resale,Strata,99,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05,1280000
PARC MACKENZIE,"1,334.74",Oct-21,MACKENZIE ROAD,Resale,Strata,124,Apartment,1,Freehold,9,Core Central Region,06 to 10,1980000
BAYSHORE PARK,936.47,Jun-23,BAYSHORE ROAD,Resale,Strata,87.0,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,06 to 10,1180000
THE LAKEGARDEN RESIDENCES,731.95,Aug-23,YUAN CHING ROAD,New Sale,Strata,68.0,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,06 to 10,1505800
BARTLEY RESIDENCES,"2,023.63",Sep-21,LORONG HOW SUN,Resale,Strata,188,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,16 to 20,2380000
THE GARDENS AT BISHAN,"1,151.75",Nov-21,SIN MING WALK,Resale,Strata,107,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,11 to 15,1480000
PARK NATURA,"2,314.26",Feb-22,BUKIT BATOK EAST AVENUE 6,Resale,Strata,215,Condominium,1,Freehold,23,Rest of Central Region,06 to 10,2590000
SKY HABITAT,"1,162.51",Jul-24,BISHAN STREET 15,Resale,Strata,108,Condominium,1,99 yrs lease commencing from 2011,20,Rest of Central Region,11 to 15,2060000
FORETT@BUKIT TIMAH,979.52,Aug-20,TOH TUCK ROAD,New Sale,Strata,91,Apartment,1,Freehold,21,Rest of Central Region,01 to 05,1836000
MARINA BAY RESIDENCES,731.95,Apr-23,MARINA BOULEVARD,Resale,Strata,68,Condominium,1,99 yrs lease commencing from 2005,1,Core Central Region,06 to 10,1450000
ALTEZ,"1,184.04",Apr-21,ENGGOR STREET,Resale,Strata,110,Apartment,1,99 yrs lease commencing from 2008,2,Core Central Region,46 to 50,2225000
CASABLANCA,"1,130.22",Mar-22,ROSEWOOD DRIVE,Resale,Strata,105,Condominium,1,99 yrs lease commencing from 2001,25,Outside Central Region,01 to 05,970000
THE WOODLEIGH RESIDENCES,645.84,Jun-22,BIDADARI PARK DRIVE,Sub Sale,Strata,60,Apartment,1,99 yrs lease commencing from 2017,13,Rest of Central Region,01 to 05,1360000
WHISTLER GRAND,613.55,May-24,WEST COAST VALE,Resale,Strata,57,Apartment,1,99 yrs lease commencing from 2018,5,Outside Central Region,31 to 35,1218888
THE CONTINUUM,"1,227.1",Feb-24,THIAM SIEW AVENUE,New Sale,Strata,114,Apartment,1,Freehold,15,Rest of Central Region,11 to 15,3405000
QUEENS PEAK,624.31,Sep-24,DUNDEE ROAD,Resale,Strata,58.0,Condominium,1,99 yrs lease commencing from 2015,3,Rest of Central Region,06 to 10,1365000
SEA AVENUE RESIDENCES,"1,194.8",Apr-22,SEA AVENUE,Resale,Strata,111,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,2000000
