Project Name,Area (SQFT),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Transacted Price ($)
THE AMERY,"2,023.63",Oct-21,LORONG K TELOK KURAU,Resale,Strata,188,Condominium,1,Freehold,15,Outside Central Region,01 to 05,2540000
WATERVIEW,"1,184.04",Jun-22,TAMPINES AVENUE 1,Resale,Strata,110,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05,1250000
BEACON HEIGHTS,667.37,Mar-22,MAR THOMA ROAD,Resale,Strata,62,Condominium,1,999 yrs lease commencing from 1882,12,Rest of Central Region,01 to 05,840000
THE GARDEN RESIDENCES,"1,539.25",Feb-21,SERANGOON NORTH VIEW,New Sale,Strata,143,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,01 to 05,2273100
THE RESERVE RESIDENCES,495.14,May-23,JALAN ANAK BUKIT,New Sale,Strata,46,Apartment,1,99 yrs lease commencing from 2021,21,Rest of Central Region,06 to 10,1224000
GRANDEUR 8,"1,130.22",Nov-21,ANG MO KIO CENTRAL 3,Resale,Strata,105,Condominium,1,99 yrs lease commencing from 2002,20,Outside Central Region,06 to 10,1247000
DAINTREE RESIDENCE,"1,054.87",Aug-20,TOH TUCK ROAD,New Sale,Strata,98,Condominium,1,99 yrs lease commencing from 2017,21,Rest of Central Region,01 to 05,1711230
RV POINT,419.8,Aug-24,RIVER VALLEY ROAD,Resale,Strata,39.0,Apartment,1,999 yrs lease commencing from 1841,9,Core Central Region,01 to 05,855000
AVENUE SOUTH RESIDENCE,527.44,Apr-22,SILAT AVENUE,New Sale,Strata,49,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,41 to 45,1294000
KLIMT CAIRNHILL,"1,496.2",Feb-24,CAIRNHILL ROAD,New Sale,Strata,139,Apartment,1,Freehold,9,Core Central Region,06 to 10,5230000
THE BELVEDERE,"1,367.03",Jul-21,MEYER ROAD,Resale,Strata,127,Condominium,1,Freehold,15,Rest of Central Region,01 to 05,2520000
BARTLEY RESIDENCES,462.85,Sep-24,LORONG HOW SUN,Resale,Strata,43.0,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10,828000
THE INTERLACE,"1,593.07",Jun-24,DEPOT ROAD,Resale,Strata,148,Condominium,1,99 yrs lease commencing from 2009,4,Rest of Central Region,06 to 10,2690000
THE RED HOUSE,764.24,Nov-24,EAST COAST ROAD,Resale,Strata,71.0,Apartment,1,99 yrs lease commencing from 2012,15,Rest of Central Region,01 to 05,1035000
FOREST HILLS CONDOMINIUM,"1,539.25",May-23,TRANSIT ROAD,Resale,Strata,143,Condominium,1,99 yrs lease commencing from 2000,26,Outside Central Region,01 to 05,1250000
THOMSON THREE,"1,044.11",Dec-23,BRIGHT HILL DRIVE,Resale,Strata,97.0,Apartment,1,99 yrs lease commencing from 2012,20,Rest of Central Region,11 to 15,2188000
PARC OASIS,"1,227.1",Aug-24,JURONG EAST AVENUE 1,Resale,Strata,114.0,Condominium,1,99 yrs lease commencing from 1991,22,Outside Central Region,11 to 15,1380000
CASABLANCA,"1,119.46",Aug-20,ROSEWOOD DRIVE,Resale,Strata,104,Condominium,1,99 yrs lease commencing from 2001,25,Outside Central Region,11 to 15,845000
PASIR RIS 8,"1,065.64",Oct-22,PASIR RIS DRIVE 8,New Sale,Strata,99,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,01 to 05,1979000
URBAN VISTA,441.32,Jan-21,TANAH MERAH KECHIL LINK,Resale,Strata,41,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,01 to 05,605000
DYNASTY GARDEN,"2,002.1",Apr-22,SIXTH AVENUE,Resale,Strata,186,Condominium,1,Freehold,10,Core Central Region,-,3315000
ST MARTIN RESIDENCE,"2,120.51",Nov-24,ST. MARTIN'S DRIVE,Resale,Strata,197.0,Condominium,1,Freehold,10,Core Central Region,01 to 05,3750000
FOURTH AVENUE RESIDENCES,484.38,Oct-20,FOURTH AVENUE,New Sale,Strata,45,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,01 to 05,1080000
THE CENTRIS,"1,302.44",May-24,JURONG WEST CENTRAL 3,Resale,Strata,121,Apartment,1,99 yrs lease commencing from 2006,22,Outside Central Region,06 to 10,2020000
JADE RESIDENCES,"1,033.34",Feb-24,LEW LIAN VALE,Resale,Strata,96,Apartment,1,Freehold,19,Outside Central Region,01 to 05,1190000
ONE PEARL BANK,"1,216.33",Sep-22,PEARL BANK,New Sale,Strata,113,Apartment,1,99 yrs lease commencing from 2019,3,Rest of Central Region,36 to 40,3129000
PENROSE,"1,184.04",Jan-22,SIMS DRIVE,New Sale,Strata,110,Apartment,1,99 yrs lease commencing from 2019,14,Rest of Central Region,01 to 05,1946000
NORMANTON PARK,"1,614.6",Oct-24,NORMANTON PARK,Sub Sale,Strata,150.0,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,16 to 20,3650000
CONCOURSE SKYLINE,"1,097.93",Sep-24,BEACH ROAD,Resale,Strata,102.0,Apartment,1,99 yrs lease commencing from 2008,7,Core Central Region,26 to 30,2210000
CENTRAL VIEW,"1,205.57",Oct-21,HOUGANG STREET 11,Resale,Strata,112,Condominium,1,99 yrs lease commencing from 1998,19,Outside Central Region,11 to 15,1149988
LENTOR HILLS RESIDENCES,"1,097.93",Nov-24,LENTOR HILLS ROAD,New Sale,Strata,102.0,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20,2469000
DAIRY FARM RESIDENCES,"1,140.98",Sep-23,DAIRY FARM LANE,Sub Sale,Strata,106.0,Apartment,1,99 yrs lease commencing from 2018,23,Outside Central Region,11 to 15,2156000
THE PEARL @ MOUNT FABER,"2,045.16",Jun-22,MOUNT FABER ROAD,Resale,Strata,190,Condominium,1,99 yrs lease commencing from 2002,4,Rest of Central Region,01 to 05,2550000
D'WEAVE,839.59,Sep-24,LORONG 39 GEYLANG,Resale,Strata,78.0,Apartment,1,Freehold,14,Rest of Central Region,06 to 10,1345000
THE MINTON,979.52,Jun-24,HOUGANG STREET 11,Resale,Strata,91,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15,1450000
CAIRNHILL 16,"1,054.87",Aug-23,CAIRNHILL RISE,New Sale,Strata,98.0,Apartment,1,Freehold,9,Core Central Region,11 to 15,3200000
DE LENTE,"1,033.34",Jun-21,HOLLAND ROAD,Resale,Strata,96,Apartment,1,Freehold,10,Core Central Region,01 to 05,1700000
HAUS ON HANDY,635.08,May-22,HANDY ROAD,New Sale,Strata,59,Condominium,1,99 yrs lease commencing from 2018,9,Core Central Region,06 to 10,1702000
PERFECT TEN,785.77,May-22,BUKIT TIMAH ROAD,New Sale,Strata,73,Apartment,1,Freehold,10,Core Central Region,11 to 15,2229096
BISHAN POINT,"1,485.43",May-21,BRIGHT HILL DRIVE,Resale,Strata,138,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,06 to 10,1750000
UPTOWN @ FARRER,925.7,May-21,PERUMAL ROAD,New Sale,Strata,86,Apartment,1,99 yrs lease commencing from 2017,8,Rest of Central Region,01 to 05,1556000
JUNIPER HILL,656.6,Nov-22,EWE BOON ROAD,Resale,Strata,61,Apartment,1,Freehold,10,Core Central Region,06 to 10,2050000
LIVIA,"1,539.25",Dec-24,PASIR RIS GROVE,Resale,Strata,143.0,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10,2080000
NORWOOD GRAND,624.31,Oct-24,CHAMPIONS WAY,New Sale,Strata,58.0,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05,1284000
FERNWOOD TOWERS,"1,636.13",Sep-20,FERNWOOD TERRACE,Resale,Strata,152,Condominium,1,Freehold,15,Outside Central Region,06 to 10,1880000
URBAN TREASURES,452.09,Nov-20,JALAN EUNOS,New Sale,Strata,42,Condominium,1,Freehold,14,Outside Central Region,06 to 10,892857
THE BOTANY AT DAIRY FARM,"1,033.34",Mar-23,DAIRY FARM WALK,New Sale,Strata,96,Condominium,1,99 yrs lease commencing from 2022,23,Outside Central Region,01 to 05,1950000
THE WISTERIA,710.42,May-21,YISHUN RING ROAD,Resale,Strata,66,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,11 to 15,850000
VISTA RESIDENCES,"1,410.08",Feb-22,JALAN DATOH,Resale,Strata,131,Condominium,1,Freehold,12,Rest of Central Region,31 to 35,2420000
PARC OASIS,"1,076.4",Apr-21,JURONG EAST AVENUE 1,Resale,Strata,100,Condominium,1,99 yrs lease commencing from 1991,22,Outside Central Region,06 to 10,966000
WATER PLACE,"1,216.33",Apr-21,TANJONG RHU ROAD,Resale,Strata,113,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,01 to 05,1568000
NORMANTON PARK,667.37,May-21,NORMANTON PARK,New Sale,Strata,62,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,06 to 10,1222700
NORWOOD GRAND,"1,313.21",Oct-24,CHAMPIONS WAY,New Sale,Strata,122.0,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10,2681000
REFLECTIONS AT KEPPEL BAY,"1,614.6",Apr-23,KEPPEL BAY VIEW,Resale,Strata,150,Condominium,1,99 yrs lease commencing from 2006,4,Rest of Central Region,06 to 10,3008888
VERTICUS,753.48,Jan-21,JALAN KEMAMAN,New Sale,Strata,70,Apartment,1,Freehold,12,Rest of Central Region,11 to 15,1530000
AVENUE SOUTH RESIDENCE,656.6,Mar-22,SILAT AVENUE,New Sale,Strata,61,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,46 to 50,1659000
MIMOSA PARK,"2,389.61",Aug-23,MIMOSA ROAD,Resale,Strata,222.0,Condominium,1,Freehold,28,Outside Central Region,06 to 10,3100000
JADESCAPE,"1,646.89",Aug-20,SHUNFU ROAD,New Sale,Strata,153,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,01 to 05,2779200
SELETAR PARK RESIDENCE,839.59,Jul-21,SELETAR ROAD,Resale,Strata,78,Condominium,1,99 yrs lease commencing from 2011,28,Outside Central Region,01 to 05,1000000
ST FRANCIS LODGE,"1,227.1",Oct-20,ST. FRANCIS ROAD,Resale,Strata,114,Apartment,1,Freehold,12,Rest of Central Region,06 to 10,1250000
CLEMENTIWOODS CONDOMINIUM,"1,625.36",Mar-22,WEST COAST ROAD,Resale,Strata,151,Condominium,1,99 yrs lease commencing from 2006,5,Outside Central Region,01 to 05,2035000
PARC CLEMATIS,721.19,Feb-24,JALAN LEMPENG,Sub Sale,Strata,67,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,06 to 10,1473000
THE AVENIR,538.2,Oct-21,RIVER VALLEY CLOSE,New Sale,Strata,50,Condominium,1,Freehold,9,Core Central Region,06 to 10,1618000
STIRLING RESIDENCES,764.24,Mar-22,STIRLING ROAD,Sub Sale,Strata,71,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,06 to 10,1500000
STIRLING RESIDENCES,441.32,Sep-21,STIRLING ROAD,New Sale,Strata,41,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,31 to 35,1049000
CANNINGHILL PIERS,441.32,Nov-21,CLARKE QUAY,New Sale,Strata,41,Apartment,1,99 yrs lease commencing from 2021,6,Rest of Central Region,11 to 15,1278000
PALM ISLES,990.29,Apr-22,FLORA DRIVE,Resale,Strata,92,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05,1050000
THE ALPS RESIDENCES,505.91,Jan-22,TAMPINES STREET 86,Sub Sale,Strata,47,Condominium,1,99 yrs lease commencing from 2015,18,Outside Central Region,01 to 05,668000
FLORIDIAN,968.76,Oct-20,BUKIT TIMAH ROAD,Resale,Strata,90,Condominium,1,Freehold,21,Rest of Central Region,01 to 05,1720000
THOMSON V ONE,452.09,Jan-23,SIN MING ROAD,Resale,Strata,42,Apartment,1,99 yrs lease commencing from 2001,20,Rest of Central Region,01 to 05,688000
SIGNATURE AT LEWIS,979.52,Mar-23,LEWIS ROAD,Resale,Strata,91,Apartment,1,Freehold,10,Core Central Region,01 to 05,1950000
ICON,882.65,Aug-22,GOPENG STREET,Resale,Strata,82,Apartment,1,99 yrs lease commencing from 2002,2,Core Central Region,01 to 05,1550000
KI RESIDENCES AT BROOKVALE,742.72,Dec-20,BROOKVALE DRIVE,New Sale,Strata,69,Condominium,1,999 yrs lease commencing from 1885,21,Outside Central Region,06 to 10,1300000
ESPA,"1,442.38",Jan-22,CASHEW ROAD,Resale,Strata,134,Condominium,1,999 yrs lease commencing from 1882,23,Outside Central Region,01 to 05,1858000
ATRIUM RESIDENCES,"1,302.44",Mar-22,LORONG 28 GEYLANG,Resale,Strata,121,Apartment,1,Freehold,14,Rest of Central Region,06 to 10,1638000
HILLHAVEN,721.19,Dec-24,HILLVIEW RISE,New Sale,Strata,67.0,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,21 to 25,1592274
THE LAKEFRONT RESIDENCES,"1,022.58",Mar-24,LAKESIDE DRIVE,Resale,Strata,95,Condominium,1,99 yrs lease commencing from 2010,22,Outside Central Region,01 to 05,1685800
MORI,592.02,Sep-22,GUILLEMARD ROAD,New Sale,Strata,55,Apartment,1,Freehold,14,Rest of Central Region,01 to 05,1237000
EMERALD OF KATONG,"1,474.67",Nov-24,JALAN TEMBUSU,New Sale,Strata,137.0,Condominium,1,99 yrs lease commencing from 2023,15,Rest of Central Region,11 to 15,3796000
MIDTOWN MODERN,592.02,Mar-21,TAN QUEE LAN STREET,New Sale,Strata,55,Apartment,1,99 yrs lease commencing from 2019,7,Core Central Region,21 to 25,1733490
SILVERSEA,"1,679.18",Apr-22,MARINE PARADE ROAD,Resale,Strata,156,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,11 to 15,3438000
THE GLADES,452.09,Sep-20,BEDOK RISE,Resale,Strata,42,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,11 to 15,645000
VUE 8 RESIDENCE,775.01,Mar-23,PASIR RIS HEIGHTS,Resale,Strata,72,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,11 to 15,1120000
CASTLE GREEN,"1,410.08",May-22,YIO CHU KANG ROAD,Resale,Strata,131,Condominium,1,99 yrs lease commencing from 1993,26,Outside Central Region,06 to 10,1500000
MARINA ONE RESIDENCES,"1,517.72",Aug-22,MARINA WAY,Resale,Strata,141,Apartment,1,99 yrs lease commencing from 2011,1,Core Central Region,26 to 30,3744171
MELVILLE PARK,936.47,Apr-22,SIMEI STREET 1,Resale,Strata,87,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,06 to 10,830000
WATERFRONT ISLE,667.37,Sep-21,BEDOK RESERVOIR ROAD,Resale,Strata,62,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,01 to 05,765000
PULLMAN RESIDENCES NEWTON,"1,162.51",Mar-22,DUNEARN ROAD,New Sale,Strata,108,Apartment,1,Freehold,11,Core Central Region,06 to 10,3245000
NORMANTON PARK,656.6,Jan-21,NORMANTON PARK,New Sale,Strata,61,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,01 to 05,1157115
SKY EDEN@BEDOK,"1,087.16",Nov-23,BEDOK CENTRAL,New Sale,Strata,101.0,Apartment,1,99 yrs lease commencing from 2022,16,Outside Central Region,01 to 05,2285000
RIVERSAILS,"1,367.03",Mar-22,UPPER SERANGOON CRESCENT,Resale,Strata,127,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05,1660000
THE ARTE,"1,528.49",May-23,JALAN RAJA UDANG,Resale,Strata,142,Condominium,1,Freehold,12,Rest of Central Region,26 to 30,2860000
CLAVON,764.24,Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,71,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,06 to 10,1172000
ONE PEARL BANK,"1,097.93",Feb-22,PEARL BANK,New Sale,Strata,102,Apartment,1,99 yrs lease commencing from 2019,3,Rest of Central Region,01 to 05,2551000
WATTEN HOUSE,"1,539.25",Nov-23,SHELFORD ROAD,New Sale,Strata,143.0,Condominium,1,Freehold,11,Core Central Region,01 to 05,4887000
ECO,914.94,Mar-22,BEDOK SOUTH AVENUE 3,Resale,Strata,85,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15,1280000
SEASTRAND,"1,108.69",Dec-21,PASIR RIS LINK,Resale,Strata,103,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,01 to 05,1170000
ALEX RESIDENCES,904.18,May-24,ALEXANDRA VIEW,Resale,Strata,84,Apartment,1,99 yrs lease commencing from 2013,3,Rest of Central Region,36 to 40,2105000
THE RESERVE RESIDENCES,656.6,May-23,JALAN ANAK BUKIT,New Sale,Strata,61,Apartment,1,99 yrs lease commencing from 2021,21,Rest of Central Region,11 to 15,1608022
SEASCAPE,"4,133.38",Apr-21,COVE WAY,Resale,Strata,384,Condominium,1,99 yrs lease commencing from 2007,4,Core Central Region,06 to 10,4500000
THE HILLSIDE,"1,302.44",Jan-21,UPPER BUKIT TIMAH ROAD,Resale,Strata,121,Condominium,1,Freehold,21,Outside Central Region,01 to 05,1608000
EMERALD OF KATONG,688.9,Nov-24,JALAN TEMBUSU,New Sale,Strata,64.0,Condominium,1,99 yrs lease commencing from 2023,15,Rest of Central Region,16 to 20,1919000
LAKEHOLMZ,"2,142.04",Mar-21,CORPORATION ROAD,Resale,Strata,199,Condominium,1,99 yrs lease commencing from 2001,22,Outside Central Region,16 to 20,1750000
THE SHORE RESIDENCES,592.02,Sep-21,AMBER ROAD,Resale,Strata,55,Condominium,1,103 yrs lease commencing from 2009,15,Rest of Central Region,06 to 10,970000
BOTANIKA,"2,906.28",Nov-23,HOLLAND ROAD,Resale,Strata,270.0,Apartment,1,Freehold,10,Core Central Region,01 to 05,7600000
RIVERBANK @ FERNVALE,"1,044.11",Oct-21,FERNVALE CLOSE,Resale,Strata,97,Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,06 to 10,1200000
GUILLEMARD EDGE,441.32,Nov-21,LORONG 30 GEYLANG,Resale,Strata,41,Apartment,1,Freehold,14,Rest of Central Region,01 to 05,700000
LEEDON GREEN,699.66,Mar-23,LEEDON HEIGHTS,New Sale,Strata,65,Condominium,1,Freehold,10,Core Central Region,11 to 15,1982000
THE ROCHESTER RESIDENCES,"1,679.18",Sep-22,ROCHESTER DRIVE,Resale,Strata,156,Apartment,1,99 yrs lease commencing from 2005,5,Rest of Central Region,21 to 25,2420000
RIVIERE,"1,173.28",Jul-21,JIAK KIM STREET,New Sale,Strata,109,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,06 to 10,2736490
THE WOODLEIGH RESIDENCES,"1,076.4",Jul-21,BIDADARI PARK DRIVE,New Sale,Strata,100,Apartment,1,99 yrs lease commencing from 2017,13,Rest of Central Region,06 to 10,2384000
FLO RESIDENCE,925.7,Jun-23,PUNGGOL FIELD WALK,Resale,Strata,86.0,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15,1155000
THE FLORENCE RESIDENCES,979.52,Apr-24,HOUGANG AVENUE 2,Sub Sale,Strata,91,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,1790000
HAZEL PARK CONDOMINIUM,"1,205.57",Oct-20,HAZEL PARK TERRACE,Resale,Strata,112,Condominium,1,999 yrs lease commencing from 1882,23,Outside Central Region,01 to 05,1290000
FYVE DERBYSHIRE,656.6,May-22,DERBYSHIRE ROAD,New Sale,Strata,61,Apartment,1,Freehold,11,Core Central Region,16 to 20,1709000
NAVA GROVE,624.31,Nov-24,PINE GROVE,New Sale,Strata,58.0,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,11 to 15,1547100
THE OCEANFRONT @ SENTOSA COVE,"4,585.46",Oct-22,OCEAN DRIVE,Resale,Strata,426,Condominium,1,99 yrs lease commencing from 2005,4,Core Central Region,01 to 05,6800000
VERDALE,613.55,Oct-21,DE SOUZA AVENUE,New Sale,Strata,57,Apartment,1,99 yrs lease commencing from 2018,21,Rest of Central Region,01 to 05,1144800
PARC RIVIERA,"1,151.75",Nov-21,WEST COAST VALE,Resale,Strata,107,Condominium,1,99 yrs lease commencing from 2015,5,Outside Central Region,06 to 10,1580000
VERDALE,462.85,Sep-20,DE SOUZA AVENUE,New Sale,Strata,43,Apartment,1,99 yrs lease commencing from 2018,21,Rest of Central Region,01 to 05,815000
PEAK RESIDENCE,828.83,Jun-22,THOMSON ROAD,New Sale,Strata,77,Condominium,1,Freehold,11,Core Central Region,01 to 05,1989600
THE PANORAMA,430.56,Oct-22,ANG MO KIO AVENUE 2,Resale,Strata,40,Condominium,1,99 yrs lease commencing from 2013,20,Outside Central Region,06 to 10,750000
ARTHUR 118,925.7,Apr-22,ARTHUR ROAD,Resale,Strata,86,Apartment,1,Freehold,15,Rest of Central Region,11 to 15,1750000
EIGHT RIVERSUITES,699.66,Feb-22,WHAMPOA EAST,Resale,Strata,65,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,21 to 25,1130000
ONE MEYER,"1,033.34",Dec-21,MEYER PLACE,New Sale,Strata,96,Apartment,1,Freehold,15,Rest of Central Region,06 to 10,2519000
CITY SQUARE RESIDENCES,861.12,Feb-23,KITCHENER LINK,Resale,Strata,80,Condominium,1,Freehold,8,Rest of Central Region,11 to 15,1640000
LAUREL TREE,462.85,Jun-23,HILLVIEW TERRACE,Resale,Strata,43.0,Apartment,1,Freehold,23,Outside Central Region,01 to 05,695000
LAKESIDE TOWER,"1,969.81",Jun-21,YUAN CHING ROAD,Resale,Strata,183,Apartment,1,99 yrs lease commencing from 1975,22,Outside Central Region,11 to 15,1360000
RESIDENTIAL APARTMENTS,"1,033.34",Jul-21,WHAMPOA DRIVE,Resale,Strata,96,Apartment,1,Freehold,12,Rest of Central Region,01 to 05,1017500
MARINA COLLECTION,"1,872.94",Dec-21,COVE DRIVE,Resale,Strata,174,Condominium,1,99 yrs lease commencing from 2007,4,Core Central Region,01 to 05,3427590
AMBER PARK,"1,571.54",Apr-21,AMBER GARDENS,New Sale,Strata,146,Condominium,1,Freehold,15,Rest of Central Region,06 to 10,3528800
DORSETT RESIDENCES,484.38,Aug-20,NEW BRIDGE ROAD,Resale,Strata,45,Apartment,1,99 yrs lease commencing from 2009,2,Rest of Central Region,01 to 05,970000
MIDWOOD,775.01,Aug-21,HILLVIEW RISE,New Sale,Strata,72,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,11 to 15,1253000
AMARYLLIS VILLE,"1,237.86",Dec-21,NEWTON ROAD,Resale,Strata,115,Condominium,1,99 yrs lease commencing from 1997,11,Core Central Region,01 to 05,2150000
THE GAZANIA,699.66,Aug-22,HOW SUN DRIVE,New Sale,Strata,65,Condominium,1,Freehold,19,Outside Central Region,01 to 05,1555000
V ON SHENTON,"1,054.87",Jun-21,SHENTON WAY,Resale,Strata,98,Apartment,1,99 yrs lease commencing from 2011,1,Core Central Region,26 to 30,2150000
BELLERIVE,"1,539.25",Apr-21,KENG CHIN ROAD,Resale,Strata,143,Apartment,1,Freehold,10,Core Central Region,11 to 15,2800000
THE HILLFORD,398.27,Apr-22,JALAN JURONG KECHIL,Resale,Strata,37,Apartment,1,60 yrs lease commencing from 2013,21,Rest of Central Region,06 to 10,508000
THE CREST,"1,259.39",Apr-24,PRINCE CHARLES CRESCENT,Resale,Strata,117,Condominium,1,99 yrs lease commencing from 2012,3,Rest of Central Region,01 to 05,2398000
THE FLORENCE RESIDENCES,473.62,May-21,HOUGANG AVENUE 2,New Sale,Strata,44,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15,845000
EAST MEADOWS,"1,237.86",Dec-22,TANAH MERAH KECHIL ROAD,Resale,Strata,115,Condominium,1,99 yrs lease commencing from 1998,16,Outside Central Region,01 to 05,1450000
MAYSPRINGS,"1,291.68",Apr-21,PETIR ROAD,Resale,Strata,120,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,06 to 10,1090000
THE MYST,678.13,Aug-23,UPPER BUKIT TIMAH ROAD,New Sale,Strata,63.0,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,06 to 10,1413000
JLB RESIDENCES,"1,442.38",May-21,JALAN LOYANG BESAR,Resale,Strata,134,Apartment,1,946 yrs lease commencing from 1937,17,Outside Central Region,01 to 05,1350000
NORMANTON PARK,516.67,Jan-21,NORMANTON PARK,New Sale,Strata,48,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,16 to 20,923853
THE MINTON,"1,463.9",Jan-22,HOUGANG STREET 11,Resale,Strata,136,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,16 to 20,1788888
LENTOR HILLS RESIDENCES,"1,097.93",Aug-24,LENTOR HILLS ROAD,New Sale,Strata,102.0,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,01 to 05,2267000
WATERFRONT WAVES,968.76,May-21,BEDOK RESERVOIR ROAD,Resale,Strata,90,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,11 to 15,1068000
TURQUOISE,"2,411.14",Apr-22,COVE DRIVE,Resale,Strata,224,Condominium,1,99 yrs lease commencing from 2007,4,Core Central Region,01 to 05,3254850
THE WATERGARDENS AT CANBERRA,958,Aug-21,CANBERRA DRIVE,New Sale,Strata,89,Apartment,1,99 yrs lease commencing from 2020,27,Outside Central Region,01 to 05,1401000
LINCOLN SUITES,"1,840.64",Apr-23,KHIANG GUAN AVENUE,Resale,Strata,171,Condominium,1,Freehold,11,Core Central Region,21 to 25,4160000
PARK COLONIAL,678.13,Dec-20,WOODLEIGH LANE,New Sale,Strata,63,Condominium,1,99 yrs lease commencing from 2017,13,Rest of Central Region,11 to 15,1366200
CENTRA HEIGHTS,430.56,Mar-24,SIMS AVENUE,Resale,Strata,40,Apartment,1,Freehold,14,Rest of Central Region,06 to 10,760000
KASSIA,753.48,Jul-24,FLORA DRIVE,New Sale,Strata,70.0,Condominium,1,Freehold,17,Outside Central Region,01 to 05,1382000
THE LUXURIE,882.65,Jun-21,COMPASSVALE ROAD,Resale,Strata,82,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15,1010000
BLISS LOFT,828.83,Apr-21,KIM KEAT CLOSE,Resale,Strata,77,Apartment,1,Freehold,12,Rest of Central Region,11 to 15,960000
BOTANIC GARDENS VIEW,"1,754.53",Dec-24,TAMAN SERASI,Resale,Strata,163.0,Apartment,1,Freehold,10,Core Central Region,06 to 10,4170000
NORMANTON PARK,"1,054.87",Mar-22,NORMANTON PARK,New Sale,Strata,98,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,21 to 25,1851000
THE CLEMENT CANOPY,731.95,Oct-24,CLEMENTI AVENUE 1,Resale,Strata,68.0,Apartment,1,99 yrs lease commencing from 2016,5,Outside Central Region,06 to 10,1320000
AURALIS,495.14,Dec-20,EAST COAST ROAD,Resale,Strata,46,Apartment,1,Freehold,15,Outside Central Region,01 to 05,720000
KOVAN REGENCY,"2,142.04",Aug-20,KOVAN RISE,Resale,Strata,199,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15,2480000
JADE MANSION,"2,723.29",Aug-21,LEEDON ROAD,Resale,Strata,253,Condominium,1,Freehold,10,Core Central Region,06 to 10,4380000
PULLMAN RESIDENCES NEWTON,462.85,Oct-23,DUNEARN ROAD,New Sale,Strata,43.0,Apartment,1,Freehold,11,Core Central Region,26 to 30,1615000
THE LINE @ TANJONG RHU,"1,054.87",Oct-21,TANJONG RHU ROAD,Resale,Strata,98,Condominium,1,Freehold,15,Rest of Central Region,06 to 10,2287240
